"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht";;;;;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Vervoerwijzen;Totaal;Totaal;Totaal;Auto (bestuurder);Auto (bestuurder);Auto (bestuurder);Auto (passagier);Auto (passagier);Auto (passagier);Trein;Trein;Trein;Bus/tram/metro;Bus/tram/metro;Bus/tram/metro;Fiets;Fiets;Fiets;Lopen;Lopen;Lopen;Overige vervoerwijze;Overige vervoerwijze;Overige vervoerwijze
;;Onderwerp;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit
Perioden;Leeftijd;Reismotieven;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten
2013*;Totaal;Totaal;3,12;11,19;23,64;0,98;17,75;24,71;0,37;19,53;27,68;0,07;48,44;49,6;0,12;9,24;26,49;0,83;3,51;19,63;0,64;1,39;20,01;0,1;17,49;32,01
2013*;Totaal;Van en naar het werk;0,61;15,64;24,62;0,26;23,6;29,96;0,02;21,02;29,5;0,03;41,32;42,44;0,04;9,06;24,86;0,16;3,85;17,66;0,07;0,81;9,31;0,04;20,59;28,16
2013*;Totaal;Winkelen, boodschappen doen;0,62;5,07;14,31;0,21;7,44;14,7;0,07;10,9;19,24;0;42,46;46,48;0,02;7,22;24,29;0,17;2;11,99;0,14;0,82;11,68;0,01;5,44;15,82
2013*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;7,05;18,07;0,02;24,66;31,37;0,03;8,43;16,79;0,01;38,79;41,75;0,03;10,94;27,5;0,13;3,1;16,13;0,07;0,68;8,43;0,01;12,02;28,84
2013*;Totaal;Vrije tijd;1,1;13;31,68;0,27;20,84;28,98;0,2;24,04;32,44;0,02;64,24;65,27;0,03;9,6;29,47;0,27;4,96;30,07;0,28;2,14;32,01;0,03;18,53;46
2013*;Totaal;Overige reismotieven;0,5;11,77;19,67;0,23;16,33;22,27;0,05;19,09;25,82;0,01;62,13;58,8;0,01;7,9;25,43;0,11;2,28;12,84;0,08;0,8;10,52;0,02;19,52;29,62
2014*;Totaal;Totaal;3,13;11,23;24,07;0,97;17,92;24,84;0,35;19,75;27,81;0,08;48,47;49,73;0,12;9,37;26,59;0,87;3,55;19,94;0,62;1,47;21,35;0,11;17,59;33,37
2014*;Totaal;Van en naar het werk;0,62;15,81;24,87;0,26;24;30,16;0,02;21,43;29,55;0,03;41,13;42,32;0,04;9,35;24,95;0,16;3,89;17,85;0,07;0,82;9,73;0,04;21,21;29,61
2014*;Totaal;Winkelen, boodschappen doen;0,63;5,1;14,36;0,21;7,55;14,75;0,07;11,1;19,3;0;42,42;46,49;0,02;7,23;24,23;0,18;2,02;12;0,13;0,82;11,98;0,01;5,41;16,03
2014*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;7,18;18,36;0,01;25,37;31,89;0,02;8,43;16,66;0,01;38,86;41,89;0,03;11,22;27,63;0,14;3,16;16,38;0,06;0,66;8,51;0,01;14,01;30,37
2014*;Totaal;Vrije tijd;1,11;13,07;32,53;0,27;21,27;29,3;0,19;24,45;32,67;0,02;64,03;65,23;0,03;9,48;29,47;0,28;5,04;30,73;0,29;2,26;33,86;0,03;18,48;48,72
2014*;Totaal;Overige reismotieven;0,48;11,5;19,53;0,22;15,9;22,09;0,05;18,57;25,71;0,01;62,02;58,47;0,01;7,73;25,29;0,11;2,26;12,74;0,07;0,78;10,25;0,02;18,23;29,16
2015*;Totaal;Totaal;3,03;11,36;24,14;0,95;18,04;24,84;0,34;19,7;27,62;0,08;48,27;49,46;0,12;9,14;26,43;0,84;3,58;19,98;0,6;1,48;21,69;0,1;18,21;32,82
2015*;Totaal;Van en naar het werk;0,61;15,97;24,78;0,25;24,23;30,14;0,02;21,6;29,4;0,03;41,11;42,28;0,04;9,07;24,86;0,16;3,92;17,86;0,07;0,79;9,32;0,04;21,43;28,84
2015*;Totaal;Winkelen, boodschappen doen;0,61;5,14;14,48;0,21;7,51;14,79;0,07;10,94;19,28;0;42,35;46,38;0,02;7,02;24,03;0,18;2,02;11,95;0,13;0,85;12,43;0,01;5,26;15,85
2015*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;7,29;18,38;0,02;25,26;32,08;0,02;8,39;16,78;0,02;38,97;41,83;0,03;10,86;27,46;0,13;3,17;16,4;0,06;0,66;8,18;0,01;13,16;29,35
2015*;Totaal;Vrije tijd;1,07;13,16;32,7;0,26;21,44;29,36;0,18;24,57;32,53;0,02;63,64;64,5;0,03;9,38;29,2;0,28;5,04;30,6;0,28;2,28;34,72;0,03;19,24;48,36
2015*;Totaal;Overige reismotieven;0,45;11,91;19,68;0,21;16,07;22,08;0,05;18,72;25,57;0,01;61,53;58,49;0,01;7,38;25,16;0,1;2,25;12,67;0,06;0,77;10,06;0,01;21;29,59
2016*;Totaal;Totaal;2,99;11,34;24,1;0,93;18,12;24,92;0,34;19,49;27,58;0,08;48,52;49,57;0,12;9,02;26,31;0,82;3,58;19,92;0,59;1,45;21,5;0,1;17,03;32,21
2016*;Totaal;Van en naar het werk;0,61;15,93;24,89;0,25;24,31;30,26;0,02;21,35;29,37;0,03;41,27;42,34;0,04;9,06;24,8;0,16;3,94;17,91;0,07;0,78;9,69;0,04;20,36;29,06
2016*;Totaal;Winkelen, boodschappen doen;0,6;5,06;14,2;0,2;7,47;14,7;0,07;10,87;19,22;0;42,67;46,71;0,02;6,98;23,99;0,17;2,02;11,85;0,13;0,81;11,55;0,01;4,49;15,1
2016*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;7,3;18,55;0,02;25,55;32,48;0,03;8,57;16,97;0,02;38,94;41,77;0,03;10,6;27,32;0,14;3,21;16,55;0,06;0,66;8,53;0,01;12,76;29,19
2016*;Totaal;Vrije tijd;1,06;13,14;32,59;0,26;21,39;29,3;0,18;24,15;32,41;0,02;64,03;64,61;0,03;9,13;28,93;0,27;5,03;30,6;0,27;2,24;34,5;0,03;18,21;46,79
2016*;Totaal;Overige reismotieven;0,43;11,89;19,66;0,2;16,05;22,02;0,04;18,74;25,53;0,01;61,5;58,12;0,01;7,43;25,06;0,09;2,24;12,56;0,06;0,77;10,14;0,01;18,55;29,04
2017*;Totaal;Totaal;2,95;11,5;24,12;0,93;18,3;24,98;0,33;19,63;27,5;0,08;48,17;49,25;0,12;8,87;26,15;0,81;3,61;19,94;0,58;1,47;21,5;0,1;17,49;31,9
2017*;Totaal;Van en naar het werk;0,62;16,11;25,1;0,26;24,53;30,39;0,02;21,47;29,3;0,03;40,93;42,25;0,04;8,65;24,71;0,16;3,98;18,09;0,07;0,82;10,29;0,04;22,27;30,28
2017*;Totaal;Winkelen, boodschappen doen;0,59;5,22;14,34;0,2;7,71;14,8;0,07;11,35;19,24;0;42,39;46,62;0,01;6,88;23,8;0,17;2,05;11,86;0,13;0,83;12;0,01;5,25;15,18
2017*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,28;7,32;18,75;0,02;26,03;32,95;0,02;8,45;16,76;0,02;38,76;41,56;0,03;10,29;27,17;0,13;3,24;16,75;0,06;0,7;9,05;0,01;13,29;29,39
2017*;Totaal;Vrije tijd;1,03;13,28;32,46;0,26;21,45;29,24;0,18;24,2;32,28;0,02;63,88;64,1;0,03;9,29;28,61;0,26;5,05;30,37;0,26;2,3;34,71;0,03;16,43;44
2017*;Totaal;Overige reismotieven;0,43;11,94;19,63;0,2;16,13;22,01;0,04;18,78;25,47;0,01;61,37;57,99;0,01;7,6;25,16;0,09;2,25;12,57;0,06;0,76;10,18;0,01;19,27;28,78
2018*;Totaal;Totaal;3,04;11,55;24,15;0,95;18,58;25,05;0,33;19,96;27,55;0,08;48,11;49,39;0,12;8,62;26,13;0,85;3,65;20,09;0,6;1,49;21,35;0,1;18,22;32,72
2018*;Totaal;Van en naar het werk;0,64;16,12;24,84;0,27;24,81;30,33;0,02;21,57;29,1;0,03;40,97;42,42;0,04;8,54;24,68;0,17;4;18,02;0,08;0,78;9,51;0,04;22,84;30,33
2018*;Totaal;Winkelen, boodschappen doen;0,59;5,21;14,3;0,2;7,7;14,85;0,07;11,36;19,33;0;42,39;46,93;0,01;6,71;23,9;0,17;2,05;11,93;0,13;0,81;11,54;0,01;5,32;16,07
2018*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,28;7,33;18,63;0,02;25,83;33,05;0,02;8,28;16,74;0,02;39,12;41,79;0,03;10,4;27,13;0,13;3,24;16,66;0,06;0,67;8,48;0,01;11,56;28
2018*;Totaal;Vrije tijd;1,07;13,42;32,7;0,26;22,06;29,42;0,18;24,83;32,38;0,02;62,98;63,8;0,03;8,5;28,57;0,28;5,14;30,84;0,28;2,34;34,54;0,03;19,57;47,59
2018*;Totaal;Overige reismotieven;0,45;11,55;19,27;0,21;16;21,87;0,04;18,53;25,32;0,01;61,18;57,88;0,01;7,26;24,9;0,1;2,26;12,47;0,06;0,77;9,98;0,01;17,77;27,83
2019*;Totaal;Totaal;2,97;11,64;24,18;0,94;18,59;25;0,32;20,12;27,57;0,08;48,21;49,51;0,12;8,53;26,06;0,82;3,67;20,21;0,58;1,49;21,31;0,1;17,84;31,94
2019*;Totaal;Van en naar het werk;0,61;16,13;24,83;0,25;24,99;30,38;0,02;21,43;28,94;0,03;41,01;42,46;0,04;8,42;24,49;0,16;4,04;18,03;0,07;0,79;9,69;0,04;21,54;29,36
2019*;Totaal;Winkelen, boodschappen doen;0,57;5,36;14,35;0,2;7,78;14,86;0,06;11,65;19,34;0;42,25;46,89;0,01;6,56;23,8;0,16;2,06;11,91;0,12;0,8;11,59;0,01;5,61;15,99
2019*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,28;7,28;18,58;0,01;26,09;33,31;0,02;8,11;16,54;0,02;39,06;41,63;0,03;10,02;26,89;0,13;3,26;16,69;0,06;0,67;8,39;0,01;11,64;27,59
2019*;Totaal;Vrije tijd;1,05;13,5;32,59;0,26;22,07;29,47;0,18;25,03;32,44;0,02;63,31;64,06;0,03;8,59;28,53;0,27;5,12;31,04;0,27;2,31;33,87;0,03;19,79;45,64
2019*;Totaal;Overige reismotieven;0,45;11,87;19,57;0,21;16,31;22,08;0,05;18,76;25,47;0,01;60,88;57,88;0,01;7,44;25,18;0,1;2,29;12,67;0,06;0,77;10,05;0,01;17,78;29,11
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;;;;
