"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht";;;;;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Vervoerwijzen;Totaal;Totaal;Totaal;Auto (bestuurder);Auto (bestuurder);Auto (bestuurder);Auto (passagier);Auto (passagier);Auto (passagier);Trein;Trein;Trein;Bus/tram/metro;Bus/tram/metro;Bus/tram/metro;Fiets;Fiets;Fiets;Lopen;Lopen;Lopen;Overige vervoerwijze;Overige vervoerwijze;Overige vervoerwijze
;;Onderwerp;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit
Perioden;Leeftijd;Reismotieven;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten
2002*;Totaal;Winkelen, boodschappen doen;0,71;5,02;14,66;0,24;6,98;14,47;0,09;10,17;19,03;0,01;42,71;45,48;0,02;9,26;25,02;0,19;1,87;12,18;0,15;0,87;12,7;0,01;5,93;16,22
2002*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;6,97;17,71;0,02;22,46;27,05;0,03;8,76;17,01;0,01;38,47;40,64;0,03;13,45;27,6;0,12;2,87;15,52;0,07;0,69;9,44;0,01;11,21;29,74
2002*;Totaal;Vrije tijd;1,14;12,63;31,31;0,3;18,63;28,07;0,23;21,96;32,33;0,02;66,17;67,23;0,03;12,18;31,06;0,26;4,65;28,65;0,26;2;32,98;0,03;16,96;45,56
2002*;Totaal;Overige reismotieven;0,58;13,26;20,61;0,26;17,39;22,77;0,06;23,57;27,57;0,01;65,8;59,7;0,02;10,96;26,41;0,13;2,13;13,24;0,09;0,83;11,99;0,02;28,52;31,18
2003*;Totaal;Totaal;3,3;11,04;23,65;1,04;16,56;24,01;0,44;19,27;28,09;0,07;49,93;50,1;0,14;11,35;27,13;0,87;3,26;19,09;0,62;1,34;21,01;0,11;17,96;32,59
2003*;Totaal;Van en naar het werk;0,58;14,93;24,72;0,24;21,21;29,03;0,04;20,68;30,81;0,03;42,04;42,07;0,04;11,31;25,35;0,15;3,58;17,28;0,05;0,87;10,34;0,04;18,52;27,42
2003*;Totaal;Winkelen, boodschappen doen;0,7;5,1;14,71;0,23;7,13;14,53;0,09;10,59;19,14;0,01;42,21;45,3;0,02;8,61;24,92;0,2;1,89;12,2;0,15;0,88;12,91;0,01;6,48;16,49
2003*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;7,01;17,86;0,02;22,7;27,48;0,02;8,87;17,07;0,01;38,38;40,66;0,03;13,36;27,76;0,12;2,9;15,66;0,07;0,71;9,6;0,01;12,48;31,1
2003*;Totaal;Vrije tijd;1,15;12,66;31,6;0,3;19;28,24;0,23;22,28;32,39;0,02;65,61;66,86;0,03;11,92;31,01;0,28;4,72;29,06;0,27;2,02;33,65;0,03;18,17;46,27
2003*;Totaal;Overige reismotieven;0,58;13,11;20,52;0,26;17,52;22,83;0,06;23,41;27,44;0,01;64,97;59,53;0,02;10,66;26,43;0,13;2,15;13,29;0,09;0,8;11,81;0,02;27,19;31,94
2004*;Totaal;Totaal;3,29;11,03;23,58;1,04;16,61;24,13;0,44;19,34;28,17;0,07;49,74;50,19;0,14;11,23;27,12;0,87;3,28;19,09;0,63;1,32;20,47;0,11;17,17;32,1
2004*;Totaal;Van en naar het werk;0,61;14,76;24,56;0,24;21,48;29,15;0,04;20,63;30,62;0,03;42,09;42,25;0,04;11,35;25,41;0,16;3,6;17,32;0,06;0,86;10,48;0,04;17,93;27,52
2004*;Totaal;Winkelen, boodschappen doen;0,7;5,07;14,7;0,23;7,14;14,59;0,09;10,49;19,2;0,01;42,33;45,67;0,02;8,65;24,97;0,19;1,89;12,25;0,15;0,85;12,61;0,01;6,21;16,75
2004*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,3;6,88;17,64;0,02;22,56;27,77;0,03;8,85;17,12;0,01;38,68;41;0,03;13,61;27,82;0,13;2,91;15,58;0,07;0,68;9,19;0,01;11,43;29,68
2004*;Totaal;Vrije tijd;1,15;12,97;31,52;0,3;19,27;28,34;0,23;22,94;32,57;0,02;65,44;67,11;0,03;11,55;31;0,27;4,72;29,23;0,27;2;32,9;0,03;19,03;46,37
2004*;Totaal;Overige reismotieven;0,54;12,67;20,31;0,24;16,99;22,64;0,06;21,8;27,09;0,01;64,14;59,31;0,02;9,72;26,11;0,12;2,14;13,02;0,08;0,8;11,42;0,02;22,99;29,73
2005*;Totaal;Totaal;3,23;11,07;23,69;1,01;16,88;24,25;0,42;19,46;28,08;0,07;49,24;50,03;0,13;10,83;27,11;0,85;3,33;19,31;0,63;1,36;20,51;0,11;18,51;33,69
2005*;Totaal;Van en naar het werk;0,6;15,18;24,9;0,24;22,18;29,5;0,04;21,42;30,78;0,03;41,76;42,32;0,04;11;25,55;0,15;3,67;17,67;0,06;0,88;10,26;0,04;20,18;30,01
2005*;Totaal;Winkelen, boodschappen doen;0,68;5,06;14,69;0,22;7,18;14,6;0,08;10,54;19,21;0;42,31;45,69;0,02;8,57;24,95;0,19;1,91;12,22;0,15;0,87;12,71;0,01;5,86;16,59
